frame,mcp_x,mcp_y,pip_x,pip_y,dip_x,dip_y,tip_x,tip_y,pip_angle,dip_angle
24,478.01623376623377,531.3445887445887,426.8796606385353,867.0649698593436,426.0632,1075.657333333333,423.4037299711058,1236.217756763856,171.56359973843473,179.27532114584199
25,477.97500538677,531.4837319543201,426.4415381175944,867.4080035770176,426.0136806103656,1075.8605630097343,423.17784877529283,1236.5007987220447,171.39596562865236,179.1062467031154
26,477.74667538696315,531.3677785044691,426.2424840904103,867.3017335966645,425.6612191958495,1075.8749675745785,422.7861333333333,1236.3304,171.44316488694002,179.13314289199437
27,477.7403576815341,531.5011850894203,425.996740547588,867.3168187744459,425.28552666141314,1075.9981612818492,422.4375,1236.4382911392406,171.4358297939144,179.1783010863963
28,477.71638564634674,531.6629917855598,425.6842677096914,867.4550195567144,425.2282071298464,1076.1090294041112,422.34493670886076,1236.5181962025317,171.31710681665547,179.0954820799561
29,477.60153508771924,531.5171052631579,425.6711111111111,867.6384444444443,425.07625099285144,1076.0291236431028,422.4246503035101,1236.3747690683558,171.38085147646783,179.2161514558492
30,477.76071741032365,531.4625984251968,424.6907193101883,867.4011799410029,424.08246874168657,1075.8230912476722,421.09465690263085,1235.9872525088147,171.19007915367362,179.09849863472493
31,477.5138331102186,531.6331994645248,423.91120312859437,867.5169082125603,423.0962904498816,1075.5522230991844,419.70559610705595,1235.8040010813734,171.1572412752408,179.01232255367526
32,477.3419133419133,531.2507507507507,422.5523744603499,866.4530788457167,421.28827404479574,1075.1325428194991,418.56986729117875,1235.0249804839968,171.06404318694533,179.37305294888523
33,476.73570800351797,530.9689973614776,422.0602193866129,866.3548242668458,420.8894941634241,1074.6581063553824,417.9912559618442,1234.8905670376257,171.06295616003015,179.28577918931077
34,476.34432234432234,530.7373410902823,421.25288888888883,866.1628888888888,420.18406022845267,1074.5514018691588,416.8649586335735,1234.6746730717907,170.9666894851708,179.10638793641579
35,475.8436811977102,530.5257595772787,420.6485126859142,865.5275590551181,419.430057202288,1073.9765990639626,416.5342679127726,1234.2442886812044,170.97886615170722,179.29977600126043
36,475.74689716312054,530.2721631205674,419.7921462423832,865.044459489957,418.6952835188129,1073.4806571277159,415.6044876993782,1234.1216545012167,170.81264864254894,179.19924997331034
